,label,body_text,body_text_clean,body_text_tokenized,body_text_nostop,body_text_stemmed,body_text_lemmatized
10,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT You have won a 1 week FREE membership in our £100000 Prize Jackpot Txt the word CLAIM to No 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18,"['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', '100000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
11,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
12,ham,Oh k...i'm watching here:),Oh kim watching here,"['oh', 'kim', 'watching', 'here']","['oh', 'kim', 'watching']","['oh', 'kim', 'watch']","['oh', 'kim', 'watching']"
13,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how 2 spell his name Yes i did He v naughty make until i v wet,"['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']","['eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'v', 'naughti', 'make', 'v', 'wet']","['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']"
14,ham,Fine if thats the way u feel. Thats the way its gota b,Fine if thats the way u feel Thats the way its gota b,"['fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'that', 's', 'the', 'way', 'its', 'gota', 'b']","['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']","['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']","['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']"
15,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",England v Macedonia  dont miss the goalsteam news Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES SCOTLAND 4txtú120 POBOXox36504W45WQ 16,"['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']"
16,ham,Is that seriously how you spell his name?,Is that seriously how you spell his name,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['seriously', 'spell', 'name']","['serious', 'spell', 'name']","['seriously', 'spell', 'name']"
17,ham,I‘m going to try for 2 months ha ha only joking,I‘m going to try for 2 months ha ha only joking,"['i', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['going', 'try', '2', 'months', 'ha', 'ha', 'joking']","['go', 'tri', '2', 'month', 'ha', 'ha', 'joke']","['going', 'try', '2', 'month', 'ha', 'ha', 'joking']"
18,ham,So ü pay first lar... Then when is da stock comin...,So ü pay first lar Then when is da stock comin,"['so', 'ü', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']","['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']","['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']","['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']"
19,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor Ard 3 smth lor U finish ur lunch already,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
20,ham,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff Alright no way I can meet up with you sooner,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
21,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice Im really not hungry tho This sucks Mark is getting worried He knows Im sick when I turn down pizza Lol,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'im', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'im', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']","['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'im', 'sick', 'turn', 'pizza', 'lol']","['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']","['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']"
22,ham,Lol your always so convincing.,Lol your always so convincing,"['lol', 'your', 'always', 'so', 'convincing']","['lol', 'always', 'convincing']","['lol', 'alway', 'convinc']","['lol', 'always', 'convincing']"
23,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your moms left over dinner  Do you feel my Love ,"['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love', '']","['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'love', '']","['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love', '']","['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love', '']"
24,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Im back amp were packing the car now Ill let you know if theres room,"['im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'theres', 'room']","['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']","['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'there', 'room']"
25,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh Work I vaguely remember that What does it feel like Lol,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']","['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']"
26,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'u']"
27,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we wont go there Not doing too badly cheers You ,"['yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', '2', 'but', 'we', 'wont', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you', '']","['yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badly', 'cheers', '']","['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badli', 'cheer', '']","['yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badly', 'cheer', '']"
28,ham,K tell me anything about you.,K tell me anything about you,"['k', 'tell', 'me', 'anything', 'about', 'you']","['k', 'tell', 'anything']","['k', 'tell', 'anyth']","['k', 'tell', 'anything']"
29,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did Quick have a cuppa,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']","['fear', 'fainting', 'housework', 'quick', 'cuppa']","['fear', 'faint', 'housework', 'quick', 'cuppa']","['fear', 'fainting', 'housework', 'quick', 'cuppa']"
30,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged £5month Please confirm by replying YES or NO If you reply NO you will not be charged,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', '5month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']","['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '5month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']","['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', '5month', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']","['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '5month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']"
31,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup Ok i go home look at the timings then i msg ü again Xuhui going to learn on 2nd may too but her lesson is at 8am,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ü', 'again', 'xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']","['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']","['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']","['yup', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'ü', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']"
32,ham,"Oops, I'll let you know when my roommate's done",Oops Ill let you know when my roommates done,"['oops', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']","['oops', 'ill', 'let', 'know', 'roommates', 'done']","['oop', 'ill', 'let', 'know', 'roommat', 'done']","['oops', 'ill', 'let', 'know', 'roommate', 'done']"
33,ham,I see the letter B on my car,I see the letter B on my car,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']","['see', 'letter', 'b', 'car']","['see', 'letter', 'b', 'car']","['see', 'letter', 'b', 'car']"
34,ham,Anything lor... U decide...,Anything lor U decide,"['anything', 'lor', 'u', 'decide']","['anything', 'lor', 'u', 'decide']","['anyth', 'lor', 'u', 'decid']","['anything', 'lor', 'u', 'decide']"
35,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello Hows you and how did saturday go I was just texting to see if youd decided to do anything tomo Not that im trying to invite myself or anything,"['hello', 'hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']","['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']","['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']","['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']"
36,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts I just wanted to be sure Do have a great weekend Abiola,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']","['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']","['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']","['pls', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola']"
37,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",Did I forget to tell you  I want you  I need you I crave you  But most of all  I love you my sweet Arabian steed  Mmmmmm  Yummy,"['did', 'i', 'forget', 'to', 'tell', 'you', 'i', 'want', 'you', 'i', 'need', 'you', 'i', 'crave', 'you', 'but', 'most', 'of', 'all', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']"
38,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351  Rodger Burns  MSG  We tried to call you re your reply to our sms for a free nokia mobile  free camcorder Please call now 08000930705 for delivery tomorrow,"['07732584351', 'rodger', 'burns', 'msg', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']","['07732584351', 'rodger', 'burns', 'msg', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', '08000930705', 'delivery', 'tomorrow']","['07732584351', 'rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', '08000930705', 'deliveri', 'tomorrow']","['07732584351', 'rodger', 'burn', 'msg', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', '08000930705', 'delivery', 'tomorrow']"
39,ham,WHO ARE YOU SEEING?,WHO ARE YOU SEEING,"['who', 'are', 'you', 'seeing']",['seeing'],['see'],['seeing']
40,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Great I hope you like your man well endowed I am  ltgt  inches,"['great', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'i', 'am', 'ltgt', 'inches']","['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']","['great', 'hope', 'like', 'man', 'well', 'endow', 'ltgt', 'inch']","['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inch']"
41,ham,No calls..messages..missed calls,No callsmessagesmissed calls,"['no', 'callsmessagesmissed', 'calls']","['callsmessagesmissed', 'calls']","['callsmessagesmiss', 'call']","['callsmessagesmissed', 'call']"
